id,case,start_datetime,end_datetime,event
27,03,2018-03-10T12:43:10,2018-03-10T12:43:10,Otherrooms
28,03,2018-03-10T12:43:42,2018-03-10T12:44:46,Kitchen
29,03,2018-03-10T12:45:31,2018-03-10T12:55:07,Restaurant/Bar
30,03,2018-03-10T12:55:39,2018-03-10T12:57:15,Kitchen
31,03,2018-03-10T12:57:47,2018-03-10T12:57:47,Otherrooms
32,03,2018-03-10T12:58:19,2018-03-10T12:58:51,Kitchen
33,03,2018-03-10T12:59:23,2018-03-10T12:59:23,Otherrooms
34,03,2018-03-10T12:59:55,2018-03-10T12:59:55,Kitchen
35,03,2018-03-10T13:02:45,2018-03-10T13:03:17,Livingroom
36,03,2018-03-10T13:05:38,2018-03-10T13:05:38,Otherrooms
37,03,2018-03-10T13:06:10,2018-03-10T13:08:18,Pathways
38,03,2018-03-10T13:08:50,2018-03-10T13:12:34,Shop
39,03,2018-03-10T13:13:06,2018-03-10T13:15:14,Pathways
40,03,2018-03-10T13:16:18,2018-03-10T13:16:18,Otherrooms
41,03,2018-03-10T13:16:50,2018-03-10T13:16:50,Livingroom
42,03,2018-03-10T13:17:22,2018-03-10T13:18:26,Kitchen
43,03,2018-03-10T13:19:30,2018-03-10T13:31:59,Office
44,03,2018-03-10T13:32:31,2018-03-10T13:35:11,Balcony
45,03,2018-03-10T13:35:43,2018-03-10T13:36:15,Kitchen
46,03,2018-03-10T13:36:47,2018-03-10T13:36:47,Otherrooms
47,03,2018-03-10T13:37:19,2018-03-10T13:37:51,Office
48,03,2018-03-10T13:53:07,2018-03-10T13:54:13,Otherrooms
49,03,2018-03-10T13:54:44,2018-03-10T13:55:48,Pathways
50,03,2018-03-10T13:56:20,2018-03-10T14:13:22,Transportation
51,03,2018-03-10T14:14:07,2018-03-10T14:23:17,Pathways
52,03,2018-03-10T14:23:49,2018-03-10T14:27:21,Mountains/hills/desert/sky
53,03,2018-03-10T14:27:24,2018-03-10T14:27:56,Pathways
54,03,2018-03-10T14:28:28,2018-03-10T14:28:28,Mountains/hills/desert/sky
55,03,2018-03-10T14:29:46,2018-03-10T14:34:15,Pathways
56,03,2018-03-10T14:34:46,2018-03-10T15:08:44,Beach
57,03,2018-03-10T15:09:16,2018-03-10T15:18:33,Recreation
58,03,2018-03-10T15:20:31,2018-03-10T15:20:31,Beach
59,03,2018-03-10T15:21:03,2018-03-10T15:21:03,Mountains/hills/desert/sky
60,03,2018-03-10T15:21:35,2018-03-10T15:23:11,Beach
61,03,2018-03-10T15:23:43,2018-03-10T15:24:15,Mountains/hills/desert/sky
62,03,2018-03-10T15:25:20,2018-03-10T15:53:49,Beach
63,03,2018-03-10T15:54:21,2018-03-10T15:55:38,Pathways
64,03,2018-03-10T15:56:10,2018-03-10T15:56:42,Beach
65,03,2018-03-10T15:57:14,2018-03-10T16:11:30,Pathways
66,03,2018-03-10T16:12:02,2018-03-10T16:21:52,Beach
67,03,2018-03-10T16:22:24,2018-03-10T16:23:28,Pathways
68,03,2018-03-10T16:24:00,2018-03-10T16:44:29,Transportation
69,03,2018-03-10T16:45:01,2018-03-10T16:49:49,Kitchen
70,03,2018-03-10T18:58:04,2018-03-10T18:58:36,Otherrooms
71,03,2018-03-10T19:00:15,2018-03-10T19:00:15,Kitchen
72,03,2018-03-10T19:03:27,2018-03-10T19:03:27,Transportation
73,03,2018-03-10T19:04:31,2018-03-10T19:44:54,Pathways
74,03,2018-03-10T20:37:46,2018-03-10T20:37:46,Otherrooms
